StartTime(UTC),EndTime(UTC),TimeZone,LocationLat,LocationLng,Distance(mi),AirportCode,Number,Street,Side,City,County,State,ZipCode
8/1/2016 1:01,8/1/2016 1:19,US/Pacific,37.103455,-121.60981,0,KE16,,S Valley Fwy N,R,San Martin,Santa Clara,CA,95046
8/1/2016 1:01,8/1/2016 1:16,US/Pacific,36.859917,-121.592804,0,KCVH,,CA-156 W,R,San Juan Bautista,San Benito,CA,95045
8/1/2016 1:16,8/1/2016 1:27,US/Pacific,38.261551,-122.655296,0,KO69,,Redwood Hwy S,R,Petaluma,Sonoma,CA,94954
8/1/2016 1:16,8/1/2016 1:27,US/Pacific,38.151211,-122.566673,0,KDVO,,Redwood Hwy,R,Novato,Marin,CA,94945
8/1/2016 0:50,8/1/2016 1:24,US/Pacific,38.150387,-122.450569,0,KO69,,Sears Point Rd,R,Petaluma,Sonoma,CA,94954
8/1/2016 1:05,8/1/2016 1:35,US/Pacific,38.275646,-122.047577,0,KSUU,,I-80 E,R,Fairfield,Solano,CA,94533
8/1/2016 1:13,8/1/2016 1:23,US/Pacific,37.236397,-121.969971,0,KSJC,,CA-17 S,R,Los Gatos,Santa Clara,CA,95032
8/1/2016 1:13,8/1/2016 1:26,US/Pacific,37.363773,-121.898682,0,KSJC,,US-101 N,R,San Jose,Santa Clara,CA,95112
8/1/2016 1:13,8/1/2016 1:24,US/Pacific,36.825974,-121.775558,0,KWVI,2049,Highway 1,L,Moss Landing,Monterey,CA,95039
8/1/2016 1:13,8/1/2016 1:24,US/Pacific,36.794498,-121.666489,0,KSNS,1749,El Camino Real N,L,Salinas,Monterey,CA,93907
8/1/2016 1:12,8/1/2016 1:26,US/Pacific,37.139675,-121.639366,0,KE16,,S Valley Fwy N,R,Morgan Hill,Santa Clara,CA,95037
8/1/2016 1:15,8/1/2016 1:27,US/Pacific,37.066868,-121.587578,0,KE16,,S Valley Fwy N,R,San Martin,Santa Clara,CA,95046
8/1/2016 1:11,8/1/2016 1:26,US/Pacific,37.743202,-121.557159,0,KLVK,,I-205 W,R,Tracy,Alameda,CA,95391
8/1/2016 0:01,8/1/2016 1:26,US/Pacific,36.961395,-121.403824,0,KE16,,Pacheco Pass Hwy,R,Gilroy,Santa Clara,CA,95020
8/1/2016 1:27,8/1/2016 1:37,US/Pacific,38.23452,-122.618698,0,KO69,,Redwood Hwy S,R,Petaluma,Sonoma,CA,94952
8/1/2016 1:25,8/1/2016 1:36,US/Pacific,37.932549,-122.40567,0,KCCR,,Richmond-San Rafael Brg,R,Richmond,Contra Costa,CA,94801
8/1/2016 1:23,8/1/2016 1:38,US/Pacific,37.480419,-122.405525,0,KHAF,12309,San Mateo Rd,L,Half Moon Bay,San Mateo,CA,94019
8/1/2016 1:17,8/1/2016 1:38,US/Pacific,37.765182,-122.405151,0,KSFO,,James Lick Fwy S,R,San Francisco,San Francisco,CA,94103
8/1/2016 0:22,8/1/2016 1:38,US/Pacific,37.813755,-122.361465,0,KOAK,,I-80 W,R,San Francisco,San Francisco,CA,94130
8/1/2016 1:26,8/1/2016 1:38,US/Pacific,38.258198,-122.315872,0,KAPC,3179,Sonoma Hwy,L,Napa,Napa,CA,94559
8/1/2016 1:22,8/1/2016 1:35,US/Pacific,37.237236,-121.969322,0,KSJC,,CA-17 N,R,Los Gatos,Santa Clara,CA,95032
8/1/2016 1:25,8/1/2016 1:38,US/Pacific,36.801254,-121.783485,0,KWVI,6900,Highway 1,R,Moss Landing,Monterey,CA,95039
8/1/2016 1:22,8/1/2016 1:36,US/Pacific,36.838734,-121.771034,0,KWVI,1770,Highway 1,R,Moss Landing,Monterey,CA,95039
8/1/2016 1:06,8/1/2016 1:33,US/Pacific,36.995792,-121.500435,0,KE16,3382,Pacheco Pass Hwy,R,Gilroy,Santa Clara,CA,95020
8/1/2016 1:21,8/1/2016 1:38,US/Pacific,38.64183,-121.468452,0,KMCC,,I-80 W,R,Sacramento,Sacramento,CA,95838
8/1/2016 1:13,8/1/2016 1:48,US/Pacific,38.151657,-122.449104,0,KO69,29723,Arnold Dr,R,Sonoma,Sonoma,CA,95476
8/1/2016 1:30,8/1/2016 1:44,US/Pacific,37.763458,-122.405029,0,KOAK,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94107
8/1/2016 1:34,8/1/2016 1:47,US/Pacific,37.488075,-122.394424,0,KHAF,11825,San Mateo Rd,L,Half Moon Bay,San Mateo,CA,94019
8/1/2016 1:34,8/1/2016 1:45,US/Pacific,36.984901,-122.028503,0,KWVI,,State Highway 1,R,Santa Cruz,Santa Cruz,CA,95060
8/1/2016 1:35,8/1/2016 1:48,US/Pacific,36.984486,-121.975449,0,KWVI,,State Highway 1,R,Santa Cruz,Santa Cruz,CA,95062
8/1/2016 1:32,8/1/2016 1:43,US/Pacific,36.767437,-121.745735,0,KSNS,,CA-156 E,R,Castroville,Monterey,CA,95012
8/1/2016 1:38,8/1/2016 1:48,US/Pacific,37.008923,-121.514198,0,KE16,2858,Pacheco Pass Hwy,R,Gilroy,Santa Clara,CA,95020
8/1/2016 1:28,8/1/2016 1:44,US/Pacific,38.418247,-121.485954,0,KSAC,,I-5 S,R,Sacramento,Sacramento,CA,95832
8/1/2016 1:37,8/1/2016 1:47,US/Pacific,36.970661,-121.382721,0,KCVH,,CA-152,R,Hollister,Santa Clara,CA,95023
8/1/2016 1:35,8/1/2016 1:46,US/Pacific,37.056889,-120.848869,0,KMCE,651,Pacheco Blvd,L,Los Banos,Merced,CA,93635
